MOF_name,thermal_decomposition_temp_C,solvent_removal_stability,dataset
qmof-ae43cc7,222.1,0.86,QMOF reference
qmof-c05a1d4,,FAILED,QMOF reference
qmof-6f21a6f,279.6,0.59,QMOF reference
qmof-8fd4a33,393.5,0.07,QMOF reference
qmof-1bbf0a2,,FAILED,QMOF reference
qmof-73b7fe4,,FAILED,QMOF reference
qmof-1742993,397.0,0.64,QMOF reference
qmof-7f07a21,338.1,0.25,QMOF reference
qmof-9fa0563,272.6,0.61,QMOF reference
qmof-8e9e492,285.4,0.8,QMOF reference
qmof-27b7e03,471.6,0.66,QMOF reference
qmof-2659ae5,,FAILED,QMOF reference
qmof-69552f5,324.2,0.95,QMOF reference
qmof-05e4efb,358.8,0.94,QMOF reference
qmof-f9cc0e4,309.0,0.5,QMOF reference
qmof-af8d1a9,379.8,0.73,QMOF reference
qmof-ecf7500,,FAILED,QMOF reference
qmof-f839aa6,,FAILED,QMOF reference
qmof-4c0d455,404.8,0.79,QMOF reference
qmof-c259721,299.7,0.94,QMOF reference
qmof-f0e967a,228.5,0.88,QMOF reference
qmof-f957853,389.7,0.55,QMOF reference
qmof-bb65d94,317.2,0.87,QMOF reference
qmof-119dee0,329.6,0.37,QMOF reference
qmof-66e180a,383.8,0.83,QMOF reference
qmof-dc165ea,388.0,0.94,QMOF reference
qmof-98c31c9,352.4,0.31,QMOF reference
qmof-1110e32,240.7,0.88,QMOF reference
qmof-1f5009f,307.7,0.86,QMOF reference
qmof-05c2fce,356.3,0.8,QMOF reference
qmof-8a56cb4,,FAILED,QMOF reference
qmof-c3c6d8e,356.8,0.61,QMOF reference
qmof-ebe89ba,258.6,0.07,QMOF reference
qmof-9576ffc,378.8,0.67,QMOF reference
qmof-8097d72,,FAILED,QMOF reference
qmof-a32a727,362.8,0.76,QMOF reference
qmof-c82cbb7,,FAILED,QMOF reference
qmof-77d7928,468.3,0.69,QMOF reference
qmof-7b18880,353.2,0.86,QMOF reference
qmof-be60601,349.3,0.87,QMOF reference
qmof-fdd7150,368.4,0.89,QMOF reference
qmof-1f2de8f,394.7,0.42,QMOF reference
qmof-2d7eb5a,450.8,0.98,QMOF reference
qmof-96d4798,289.9,0.48,QMOF reference
qmof-16a389f,317.1,0.57,QMOF reference
qmof-f9d3d84,227.3,0.68,QMOF reference
qmof-05a56bc,357.0,0.09,QMOF reference
qmof-aaacd70,272.9,0.25,QMOF reference
qmof-3ab012a,307.4,0.83,QMOF reference
qmof-882de91,,FAILED,QMOF reference
qmof-6a5d3af,296.0,0.43,QMOF reference
qmof-179b653,329.5,0.67,QMOF reference
qmof-6c87d0c,331.0,0.93,QMOF reference
qmof-ade9957,319.2,0.28,QMOF reference
qmof-1ad21a1,342.8,0.79,QMOF reference
qmof-ff241bd,252.7,0.54,QMOF reference
qmof-d461695,304.9,0.59,QMOF reference
qmof-ef48139,327.0,0.89,QMOF reference
qmof-d178e9b,304.8,0.65,QMOF reference
qmof-c109a09,361.6,0.82,QMOF reference
qmof-949579f,307.2,0.83,QMOF reference
qmof-0d69406,277.8,0.71,QMOF reference
qmof-50d8de5,260.1,0.87,QMOF reference
qmof-d4d3d1f,360.5,0.55,QMOF reference
qmof-d21be4e,269.2,0.14,QMOF reference
qmof-0138985,409.6,0.3,QMOF reference
qmof-e0f1076,319.0,0.13,QMOF reference
qmof-d417dab,422.6,0.11,QMOF reference
qmof-4a07d68,363.2,0.23,QMOF reference
qmof-4973626,283.8,0.22,QMOF reference
qmof-eb646da,330.2,0.9,QMOF reference
qmof-ecd9526,,FAILED,QMOF reference
qmof-15b209e,447.1,0.38,QMOF reference
qmof-107ed0f,307.9,0.95,QMOF reference
qmof-a00d7e9,198.1,0.63,QMOF reference
qmof-9350ae6,308.4,0.83,QMOF reference
qmof-6d7fe34,301.4,0.92,QMOF reference
qmof-91b0817,407.1,0.93,QMOF reference
qmof-296e43b,366.6,0.73,QMOF reference
qmof-8e2852e,,FAILED,QMOF reference
qmof-0d8afa2,295.6,0.86,QMOF reference
qmof-4af6c02,318.1,0.29,QMOF reference
qmof-acb9b4e,312.4,0.68,QMOF reference
qmof-7615abf,373.6,0.63,QMOF reference
qmof-5c0f1a7,,FAILED,QMOF reference
qmof-9269a92,379.1,0.88,QMOF reference
qmof-cfee2db,345.1,0.71,QMOF reference
qmof-d57ce36,235.4,0.42,QMOF reference
qmof-e651072,353.9,0.79,QMOF reference
qmof-6bed31f,335.5,0.43,QMOF reference
qmof-2967134,,FAILED,QMOF reference
qmof-f8f63d1,389.9,0.19,QMOF reference
qmof-2a1c512,362.1,0.45,QMOF reference
qmof-82a2fe0,,FAILED,QMOF reference
qmof-7aae4df,246.6,0.92,QMOF reference
qmof-4b072ee,,FAILED,QMOF reference
qmof-4745e52,346.9,0.7,QMOF reference
qmof-8138810,232.9,0.67,QMOF reference
qmof-1068e1a,358.2,0.91,QMOF reference
qmof-6210d13,292.3,0.59,QMOF reference
qmof-4483808,306.8,0.31,QMOF reference
qmof-ecac71f,,FAILED,QMOF reference
qmof-99749e3,427.3,0.71,QMOF reference
qmof-fad40f9,359.1,0.85,QMOF reference
qmof-3843ed6,371.0,0.88,QMOF reference
qmof-993a419,284.8,0.65,QMOF reference
qmof-5ef8b71,,FAILED,QMOF reference
qmof-7a4601d,297.4,0.85,QMOF reference
qmof-3bd7f7d,362.5,0.24,QMOF reference
qmof-68a8246,295.5,0.36,QMOF reference
qmof-480bd21,,FAILED,QMOF reference
qmof-e2bc1bc,390.4,0.09,QMOF reference
qmof-d73dedf,328.6,0.82,QMOF reference
qmof-9a5cf00,335.8,0.81,QMOF reference
qmof-6b9c221,511.0,0.88,QMOF reference
qmof-49c86f7,293.5,0.78,QMOF reference
qmof-4e93a90,425.8,0.86,QMOF reference
qmof-d09b8b3,336.5,0.83,QMOF reference
qmof-f967a86,,FAILED,QMOF reference
qmof-2a3e035,,FAILED,QMOF reference
qmof-a1dfcbf,349.2,0.93,QMOF reference
qmof-7d23e4a,345.8,0.38,QMOF reference
qmof-f06a869,,FAILED,QMOF reference
qmof-9dd4510,311.3,0.85,QMOF reference
qmof-b2c9241,312.6,0.82,QMOF reference
qmof-70ccc93,309.8,0.88,QMOF reference
qmof-69e96ed,334.2,0.17,QMOF reference
qmof-36d05de,335.8,0.14,QMOF reference
qmof-4569029,,FAILED,QMOF reference
qmof-ee3dca8,340.2,0.22,QMOF reference
qmof-516e1ae,343.8,0.15,QMOF reference
qmof-419320c,,FAILED,QMOF reference
qmof-1b4a4af,323.1,0.48,QMOF reference
qmof-b024a31,245.7,0.06,QMOF reference
qmof-28f26b6,218.7,0.14,QMOF reference
qmof-3091256,318.6,0.27,QMOF reference
qmof-3e982c9,315.9,0.86,QMOF reference
qmof-96a5399,353.9,0.94,QMOF reference
qmof-da144a7,394.0,0.94,QMOF reference
qmof-0ebbd43,350.9,0.67,QMOF reference
qmof-8192480,,FAILED,QMOF reference
qmof-74b7695,352.3,0.66,QMOF reference
qmof-013e062,302.7,0.75,QMOF reference
qmof-e6d34bf,267.9,0.87,QMOF reference
qmof-3a04018,314.7,0.79,QMOF reference
qmof-edf0a1b,442.3,0.88,QMOF reference
qmof-23096ab,310.6,0.8,QMOF reference
qmof-1debcad,364.7,0.94,QMOF reference
qmof-d4b0dbe,420.2,0.8,QMOF reference
qmof-1c923ff,,FAILED,QMOF reference
qmof-d556b68,247.9,0.76,QMOF reference
qmof-4a20393,414.7,0.32,QMOF reference
qmof-75c9ad5,,FAILED,QMOF reference
qmof-04b3122,385.3,0.76,QMOF reference
qmof-5c4a211,294.8,0.35,QMOF reference
qmof-d6e0710,365.3,0.79,QMOF reference
qmof-a0090fa,267.3,0.9,QMOF reference
qmof-28454c2,,FAILED,QMOF reference
qmof-9932be2,281.3,0.84,QMOF reference
qmof-d1be428,302.5,0.13,QMOF reference
qmof-25d399e,407.6,0.94,QMOF reference
qmof-3d10c56,,FAILED,QMOF reference
qmof-75ec3f5,281.4,0.88,QMOF reference
qmof-e5f2ec1,369.8,0.79,QMOF reference
qmof-c2e7f00,351.4,0.73,QMOF reference
qmof-26d536e,381.8,0.73,QMOF reference
qmof-cd01b25,299.3,0.75,QMOF reference
qmof-e6c9e36,344.3,0.58,QMOF reference
qmof-054db11,288.3,0.58,QMOF reference
qmof-c8c5913,423.7,0.91,QMOF reference
qmof-3a7c51f,290.5,0.37,QMOF reference
qmof-14ea159,347.6,0.94,QMOF reference
qmof-bc26dea,496.5,0.21,QMOF reference
qmof-5f0bbf2,280.0,0.87,QMOF reference
qmof-76db34b,272.5,0.55,QMOF reference
qmof-9d2e66b,,FAILED,QMOF reference
qmof-1f5d6ec,361.6,0.83,QMOF reference
qmof-57bbdbb,335.9,0.62,QMOF reference
qmof-4432ff1,363.2,0.67,QMOF reference
qmof-e53aaff,,FAILED,QMOF reference
qmof-95cbc22,279.2,0.76,QMOF reference
qmof-c328407,,FAILED,QMOF reference
qmof-8ce3f11,372.9,0.89,QMOF reference
qmof-fb69c56,398.8,0.91,QMOF reference
qmof-646c173,413.0,0.53,QMOF reference
qmof-9f56ed6,327.5,0.72,QMOF reference
qmof-2f4eb2a,359.7,0.88,QMOF reference
qmof-a3e1ee9,358.0,0.84,QMOF reference
qmof-cedf3f2,350.7,0.76,QMOF reference
qmof-a1f63f6,300.7,0.74,QMOF reference
qmof-66e805a,,FAILED,QMOF reference
qmof-aa8159f,210.9,0.75,QMOF reference
qmof-8b79c84,404.8,0.72,QMOF reference
qmof-235f291,351.6,0.34,QMOF reference
qmof-fe4a7b4,369.7,0.85,QMOF reference
qmof-b1eac6f,427.7,0.8,QMOF reference
qmof-83aa673,425.1,0.15,QMOF reference
qmof-6a180ff,320.3,0.62,QMOF reference
qmof-7fbe17e,276.5,0.16,QMOF reference
qmof-2285864,387.0,0.35,QMOF reference
qmof-11f5df1,292.6,0.51,QMOF reference
qmof-77765c8,270.0,0.58,QMOF reference
qmof-7ffe660,232.9,0.87,QMOF reference
qmof-4040470,,FAILED,QMOF reference
qmof-cb55880,370.2,0.04,QMOF reference
qmof-d867a6e,300.8,0.89,QMOF reference
qmof-3c96780,271.1,0.51,QMOF reference
qmof-b023388,363.6,0.78,QMOF reference
qmof-6656fa3,383.5,0.43,QMOF reference
qmof-1e466b4,302.7,0.49,QMOF reference
qmof-d377610,,FAILED,QMOF reference
qmof-ad473d2,253.1,0.99,QMOF reference
qmof-b0d6ab2,,FAILED,QMOF reference
qmof-d5c8737,310.6,0.71,QMOF reference
qmof-fc713a7,351.4,0.94,QMOF reference
qmof-6f6898f,346.9,0.52,QMOF reference
qmof-22e67b2,235.8,0.16,QMOF reference
qmof-914580c,410.4,0.91,QMOF reference
qmof-8d258c7,347.9,0.37,QMOF reference
qmof-90ba237,,FAILED,QMOF reference
qmof-1031d24,371.7,0.22,QMOF reference
qmof-6968d61,290.8,0.5,QMOF reference
qmof-c4f5d69,274.4,0.94,QMOF reference
qmof-f6a19fa,,FAILED,QMOF reference
qmof-2160282,291.0,0.85,QMOF reference
qmof-dd93e1c,338.0,0.67,QMOF reference
qmof-12532fe,321.8,0.22,QMOF reference
qmof-c72f180,377.2,0.95,QMOF reference
qmof-cc51504,248.2,0.62,QMOF reference
qmof-f848b6b,402.4,0.66,QMOF reference
qmof-f7be768,228.8,0.09,QMOF reference
qmof-fb68689,301.9,0.55,QMOF reference
qmof-013919a,304.4,0.81,QMOF reference
qmof-c0a33f9,,FAILED,QMOF reference
qmof-ea8c58f,365.1,0.24,QMOF reference
qmof-2a9c089,,FAILED,QMOF reference
qmof-891da5e,,FAILED,QMOF reference
qmof-c8b355e,391.4,0.58,QMOF reference
qmof-ca0f1bb,373.3,0.83,QMOF reference
qmof-9a3d32f,301.2,0.92,QMOF reference
qmof-3736d07,424.9,0.75,QMOF reference
qmof-ec3f86f,,FAILED,QMOF reference
qmof-e48f824,373.5,0.86,QMOF reference
qmof-8b93db2,285.5,0.6,QMOF reference
qmof-969433e,352.4,0.64,QMOF reference
qmof-f8e0017,271.7,0.81,QMOF reference
qmof-1b1c158,,FAILED,QMOF reference
qmof-5044200,373.3,0.95,QMOF reference
qmof-a10e584,303.8,0.82,QMOF reference
qmof-506c4a9,,FAILED,QMOF reference
qmof-9b7f599,355.5,0.72,QMOF reference
qmof-482a38c,345.1,0.35,QMOF reference
qmof-642b86d,363.9,0.71,QMOF reference
qmof-3ea6b66,394.7,0.89,QMOF reference
qmof-9c977f5,351.6,0.17,QMOF reference
qmof-1d6569c,320.7,0.29,QMOF reference
qmof-9a5440e,416.8,0.21,QMOF reference
qmof-eaab7b8,281.7,0.64,QMOF reference
qmof-c22ea94,439.8,0.3,QMOF reference
qmof-4fa1780,316.5,0.69,QMOF reference
qmof-31027ae,350.4,0.79,QMOF reference
qmof-c098fd3,,FAILED,QMOF reference
qmof-d5867c2,386.6,0.15,QMOF reference
qmof-0f3bfc7,269.2,0.95,QMOF reference
qmof-6c8936d,357.8,0.41,QMOF reference
qmof-8e3629b,333.6,0.56,QMOF reference
qmof-4d8929f,313.6,0.7,QMOF reference
qmof-a374762,282.1,0.26,QMOF reference
qmof-1bbc4ba,292.7,0.66,QMOF reference
qmof-e7484a9,,FAILED,QMOF reference
qmof-b6b211e,254.4,0.2,QMOF reference
qmof-23e95ee,358.4,0.96,QMOF reference
qmof-c8cc2d5,372.9,0.65,QMOF reference
qmof-3298011,230.9,0.88,QMOF reference
qmof-7953340,347.4,0.75,QMOF reference
qmof-44bb29e,358.1,0.44,QMOF reference
qmof-d3f640f,366.0,0.92,QMOF reference
qmof-115d09d,269.0,0.75,QMOF reference
qmof-350f7da,,FAILED,QMOF reference
qmof-66b8c2b,288.0,0.8,QMOF reference
qmof-b3361a6,364.7,0.54,QMOF reference
qmof-ae3974c,326.4,0.88,QMOF reference
qmof-450a9da,334.9,0.93,QMOF reference
qmof-90cfb6b,,FAILED,QMOF reference
qmof-5bce2a7,320.5,0.82,QMOF reference
qmof-07ff184,383.8,0.35,QMOF reference
qmof-4628b51,400.4,0.59,QMOF reference
qmof-d611084,359.3,0.47,QMOF reference
qmof-0d83a18,354.5,0.81,QMOF reference
qmof-3ecc302,260.2,0.37,QMOF reference
qmof-ca3f908,394.9,0.7,QMOF reference
qmof-e5bc0b8,,FAILED,QMOF reference
qmof-1b54ceb,,FAILED,QMOF reference
qmof-9b3fc80,361.1,0.95,QMOF reference
qmof-b0cfefa,342.8,0.7,QMOF reference
qmof-e012e63,353.4,0.21,QMOF reference
qmof-b660371,429.2,0.79,QMOF reference
qmof-623366c,306.8,0.73,QMOF reference
qmof-88fce3b,403.8,0.95,QMOF reference
qmof-46fc54f,337.7,0.5,QMOF reference
qmof-3854840,377.1,0.38,QMOF reference
qmof-91fe978,268.9,0.24,QMOF reference
qmof-ab8d090,,FAILED,QMOF reference
qmof-e8835b8,,FAILED,QMOF reference
qmof-a5a2ea2,359.8,0.96,QMOF reference
qmof-611c6bf,,FAILED,QMOF reference
qmof-167d2f5,360.6,0.2,QMOF reference
qmof-6ff2850,,FAILED,QMOF reference
qmof-ff3d2c1,255.2,0.49,QMOF reference
qmof-70309b4,308.2,0.79,QMOF reference
qmof-b12f4f9,313.2,0.87,QMOF reference
qmof-3a33f7e,332.0,0.43,QMOF reference
qmof-fe6118d,323.5,0.57,QMOF reference
qmof-9ca5469,304.9,0.32,QMOF reference
qmof-290b93c,295.1,0.11,QMOF reference
qmof-1b95eee,415.1,0.02,QMOF reference
qmof-2a66433,480.4,0.06,QMOF reference
qmof-522809d,332.5,0.88,QMOF reference
qmof-b4156cd,344.6,0.33,QMOF reference
qmof-90ad635,378.6,0.13,QMOF reference
qmof-417c826,396.6,0.47,QMOF reference
qmof-bcc1269,307.2,0.32,QMOF reference
qmof-74b0bf9,304.4,0.8,QMOF reference
qmof-ed41d38,331.9,0.59,QMOF reference
qmof-be35ab2,415.5,0.48,QMOF reference
qmof-41291dd,,FAILED,QMOF reference
qmof-ed6d2e9,,FAILED,QMOF reference
qmof-46659d2,392.0,0.78,QMOF reference
qmof-d73861b,300.5,0.33,QMOF reference
qmof-2e034c5,260.4,0.55,QMOF reference
qmof-871da53,322.5,0.72,QMOF reference
qmof-5e989c6,354.8,0.63,QMOF reference
qmof-89a5c57,385.3,0.94,QMOF reference
qmof-41eae12,420.4,0.81,QMOF reference
qmof-4d203e9,306.2,0.93,QMOF reference
qmof-195c4a9,,FAILED,QMOF reference
qmof-7b2faab,443.5,0.06,QMOF reference
qmof-c7a31b7,368.2,0.43,QMOF reference
qmof-f27819b,378.4,0.62,QMOF reference
qmof-270e6b4,244.4,0.21,QMOF reference
qmof-92074bc,,FAILED,QMOF reference
qmof-af37bf7,347.7,0.83,QMOF reference
qmof-13b25d9,338.9,0.64,QMOF reference
qmof-0e1dfe7,408.1,0.93,QMOF reference
qmof-d0bf550,,FAILED,QMOF reference
qmof-fdeb493,279.2,0.97,QMOF reference
qmof-a4aea7c,236.8,0.21,QMOF reference
qmof-6e5272e,242.6,0.08,QMOF reference
qmof-9fbf872,293.3,0.91,QMOF reference
qmof-a569078,267.7,0.77,QMOF reference
qmof-c741f1b,298.5,0.82,QMOF reference
qmof-39f92ad,341.0,0.86,QMOF reference
qmof-ecbc6ec,380.1,0.46,QMOF reference
qmof-ef79ebc,322.5,0.7,QMOF reference
qmof-65807e0,385.2,0.85,QMOF reference
qmof-f655648,359.3,0.52,QMOF reference
qmof-1db968d,374.5,0.13,QMOF reference
qmof-6219623,282.6,0.09,QMOF reference
qmof-7e2180f,374.7,0.43,QMOF reference
qmof-546d219,325.7,0.43,QMOF reference
qmof-5607eea,,FAILED,QMOF reference
qmof-fd0958d,476.7,0.67,QMOF reference
qmof-7616aac,313.3,0.48,QMOF reference
qmof-3347fe4,387.1,0.18,QMOF reference
qmof-4387803,296.0,0.59,QMOF reference
qmof-7d96501,297.4,0.32,QMOF reference
qmof-05d6902,282.7,0.59,QMOF reference
qmof-26dc3b8,330.6,0.36,QMOF reference
qmof-6ef802e,435.7,0.87,QMOF reference
qmof-314722e,290.8,0.19,QMOF reference
qmof-5636da1,362.7,0.2,QMOF reference
qmof-ca29387,386.6,0.19,QMOF reference
qmof-749e21d,337.3,0.41,QMOF reference
qmof-108b337,,FAILED,QMOF reference
qmof-ed2aaa7,,FAILED,QMOF reference
qmof-b66ea07,345.7,0.37,QMOF reference
qmof-c42d76c,262.0,0.18,QMOF reference
qmof-9956c49,233.5,0.38,QMOF reference
qmof-b993fee,209.7,0.44,QMOF reference
qmof-e5ce6a3,313.4,0.88,QMOF reference
qmof-4541d4f,,FAILED,QMOF reference
qmof-045c524,324.8,0.74,QMOF reference
qmof-5b36cd1,233.3,0.52,QMOF reference
qmof-0dfada7,255.6,0.77,QMOF reference
qmof-40c4e6c,389.5,0.57,QMOF reference
qmof-b35eaba,300.5,0.6,QMOF reference
qmof-b96a6b3,320.3,0.82,QMOF reference
qmof-0afaf89,307.4,0.47,QMOF reference
qmof-b310fab,269.6,0.38,QMOF reference
qmof-8b9d04c,,FAILED,QMOF reference
qmof-2566545,286.1,0.38,QMOF reference
qmof-efedb54,379.6,0.77,QMOF reference
qmof-6cd3373,338.5,0.87,QMOF reference
qmof-f8a29f1,,FAILED,QMOF reference
qmof-229f5b9,369.6,0.47,QMOF reference
qmof-23ef146,334.6,0.69,QMOF reference
qmof-e273077,339.2,0.48,QMOF reference
qmof-9e4819b,355.7,0.65,QMOF reference
qmof-fd35c17,,FAILED,QMOF reference
qmof-7559c55,413.5,0.06,QMOF reference
qmof-3a8aeef,259.6,0.57,QMOF reference
qmof-771b75b,357.6,0.82,QMOF reference
qmof-49de14c,,FAILED,QMOF reference
qmof-587db4e,390.3,0.65,QMOF reference
qmof-697b32a,347.0,0.2,QMOF reference
qmof-878c6f5,262.2,0.25,QMOF reference
qmof-65a932c,321.9,0.74,QMOF reference
qmof-3855e24,241.4,0.62,QMOF reference
qmof-0ab5c05,300.1,0.92,QMOF reference
qmof-4c838aa,286.6,0.75,QMOF reference
qmof-6a1b02d,339.7,0.76,QMOF reference
qmof-c6174ca,380.0,0.77,QMOF reference
qmof-d210d1a,416.9,0.9,QMOF reference
qmof-98a95a8,325.0,0.25,QMOF reference
qmof-a55c82c,250.5,0.6,QMOF reference
qmof-2ab39f5,312.7,0.6,QMOF reference
qmof-a24e826,319.5,0.57,QMOF reference
qmof-23163b9,366.8,0.87,QMOF reference
qmof-280956a,280.0,0.89,QMOF reference
qmof-061695a,364.8,0.15,QMOF reference
qmof-9dc0829,359.3,0.35,QMOF reference
qmof-9114e4f,312.5,0.73,QMOF reference
qmof-9b36cf2,311.7,0.9,QMOF reference
qmof-b326b48,321.7,0.88,QMOF reference
qmof-fffa2d9,442.3,0.81,QMOF reference
qmof-881eff2,337.9,0.82,QMOF reference
qmof-db3f511,357.1,0.96,QMOF reference
qmof-98d5ff0,291.3,0.85,QMOF reference
qmof-36cc11d,,FAILED,QMOF reference
qmof-dae1036,403.2,0.49,QMOF reference
qmof-c679c80,231.2,0.75,QMOF reference
qmof-8c20c8f,324.1,0.75,QMOF reference
qmof-7cb4bdf,326.2,0.26,QMOF reference
qmof-3b397bb,421.3,0.7,QMOF reference
qmof-4134e8a,,FAILED,QMOF reference
qmof-d0cb775,,FAILED,QMOF reference
qmof-5f0b53c,407.4,0.78,QMOF reference
qmof-1231f0a,345.8,0.84,QMOF reference
qmof-e256739,358.1,0.59,QMOF reference
qmof-b1ab823,391.1,0.32,QMOF reference
qmof-5dcd85d,302.1,0.28,QMOF reference
qmof-87274e3,393.2,0.02,QMOF reference
qmof-2308de6,300.0,0.8,QMOF reference
qmof-ff169e1,282.1,0.08,QMOF reference
qmof-4db285d,414.6,0.4,QMOF reference
qmof-dbb377e,346.4,0.98,QMOF reference
qmof-b6f1487,377.1,0.37,QMOF reference
qmof-ee9551c,310.3,0.45,QMOF reference
qmof-4caa2e3,364.6,0.89,QMOF reference
qmof-5ba9b76,314.8,0.37,QMOF reference
qmof-df5b996,339.4,0.9,QMOF reference
qmof-e6b8f12,320.8,0.68,QMOF reference
qmof-da50262,,FAILED,QMOF reference
qmof-5779e02,317.9,0.46,QMOF reference
qmof-261de76,339.9,0.28,QMOF reference
qmof-5bbcd9f,369.1,0.72,QMOF reference
qmof-0d1f757,327.5,0.79,QMOF reference
qmof-4d5bb8c,401.8,0.93,QMOF reference
qmof-4949753,315.3,0.31,QMOF reference
qmof-504370a,,FAILED,QMOF reference
qmof-8f835a4,352.1,0.23,QMOF reference
qmof-29aba0a,,FAILED,QMOF reference
qmof-9a970ac,284.4,0.68,QMOF reference
qmof-408a8f3,,FAILED,QMOF reference
qmof-f311c6d,,FAILED,QMOF reference
qmof-fe0b063,321.3,0.16,QMOF reference
qmof-5e06567,,FAILED,QMOF reference
qmof-ece7ed8,237.6,0.07,QMOF reference
qmof-02c7846,,FAILED,QMOF reference
qmof-20e559b,300.5,0.62,QMOF reference
qmof-2adaa41,288.8,0.79,QMOF reference
qmof-e29b30f,314.2,0.87,QMOF reference
qmof-9b2e2e4,370.2,0.76,QMOF reference
qmof-4296a72,437.6,0.9,QMOF reference
qmof-bd97004,316.2,0.78,QMOF reference
qmof-e10b73b,340.8,0.95,QMOF reference
qmof-5019d12,252.2,0.89,QMOF reference
qmof-b97ea32,391.6,0.63,QMOF reference
qmof-388d9d9,375.2,0.76,QMOF reference
qmof-4d2a8cb,334.9,0.61,QMOF reference
qmof-c1e8e4d,277.8,0.21,QMOF reference
qmof-1205501,265.8,0.59,QMOF reference
qmof-f529638,,FAILED,QMOF reference
qmof-26b963b,330.4,0.9,QMOF reference
qmof-24e316a,326.9,0.2,QMOF reference
qmof-f522cce,341.5,0.67,QMOF reference
qmof-b030441,295.4,0.23,QMOF reference
qmof-a196ea1,370.8,0.74,QMOF reference
qmof-ce64565,336.9,0.7,QMOF reference
qmof-5ce2533,317.3,0.82,QMOF reference
qmof-870a873,354.5,0.75,QMOF reference
qmof-c6ff445,405.6,0.92,QMOF reference
qmof-2f2b6f8,-210.2,0.72,QMOF reference
qmof-8c4b003,400.8,0.31,QMOF reference
qmof-b936542,277.4,0.35,QMOF reference
qmof-f0d9701,358.6,0.74,QMOF reference
qmof-8de943d,405.5,0.88,QMOF reference
qmof-513e1bb,340.0,0.36,QMOF reference
qmof-5692fe2,250.9,0.9,QMOF reference
qmof-8aa53db,,FAILED,QMOF reference
qmof-df9cac4,252.4,0.6,QMOF reference
qmof-40eecfd,386.6,0.52,QMOF reference
qmof-b75a6f2,331.2,0.49,QMOF reference
qmof-c9f20d8,355.8,0.9,QMOF reference
qmof-0ec2ee1,310.5,0.16,QMOF reference
qmof-db7b433,319.2,0.82,QMOF reference
qmof-0116630,341.8,0.07,QMOF reference
qmof-2338a98,309.3,0.56,QMOF reference
qmof-caec8ef,267.2,0.05,QMOF reference
qmof-f936989,390.9,0.49,QMOF reference
qmof-267f8b8,370.3,0.76,QMOF reference
qmof-71a9211,310.5,0.63,QMOF reference
qmof-155c782,360.3,0.24,QMOF reference
qmof-c8854ce,303.1,0.42,QMOF reference
qmof-debef81,273.5,0.43,QMOF reference
qmof-02909bf,319.3,0.86,QMOF reference
qmof-e29f3d6,321.0,0.77,QMOF reference
qmof-9ceb223,306.4,0.46,QMOF reference
qmof-86def04,383.6,0.89,QMOF reference
qmof-4178b92,404.3,0.96,QMOF reference
qmof-b890eba,391.2,0.36,QMOF reference
qmof-45da32e,330.0,0.51,QMOF reference
qmof-f3c2ff6,,FAILED,QMOF reference
qmof-9b20de3,353.4,0.65,QMOF reference
qmof-1db5694,291.5,0.79,QMOF reference
qmof-a357037,369.9,0.78,QMOF reference
qmof-d76fd42,328.2,0.86,QMOF reference
qmof-f0c0ed2,313.0,0.86,QMOF reference
qmof-9ffadde,389.0,0.55,QMOF reference
qmof-90996c9,245.8,0.66,QMOF reference
qmof-b37eb52,239.8,0.77,QMOF reference
qmof-82c1116,306.2,0.31,QMOF reference
qmof-22d73d6,307.2,0.78,QMOF reference
qmof-4721a8e,,FAILED,QMOF reference
qmof-2202f09,280.0,0.49,QMOF reference
qmof-f0345dc,336.8,0.76,QMOF reference
qmof-23a2940,397.8,0.38,QMOF reference
qmof-fa42a94,477.4,0.8,QMOF reference
qmof-b8dd1c7,323.5,0.31,QMOF reference
qmof-c0a7dd7,234.7,0.92,QMOF reference
qmof-dfd0917,260.3,0.92,QMOF reference
qmof-55d1b21,445.4,0.88,QMOF reference
qmof-533823c,350.3,0.8,QMOF reference
qmof-f0dd762,287.6,0.11,QMOF reference
qmof-8a65b8e,290.3,0.27,QMOF reference
qmof-f5d380a,299.1,0.12,QMOF reference
qmof-26f482f,214.4,0.81,QMOF reference
qmof-d2bf9c3,293.1,0.45,QMOF reference
qmof-52ef7e9,247.7,0.93,QMOF reference
qmof-25d5a89,,FAILED,QMOF reference
qmof-c9158bc,246.8,0.92,QMOF reference
qmof-580676b,332.5,0.12,QMOF reference
qmof-4c021c6,405.1,0.62,QMOF reference
qmof-3043836,334.6,0.45,QMOF reference
qmof-7000e4d,368.8,0.95,QMOF reference
qmof-518d206,197.9,0.94,QMOF reference
qmof-f5240e6,313.9,0.51,QMOF reference
qmof-1d6527e,399.5,0.9,QMOF reference
qmof-2a42bc4,348.6,0.47,QMOF reference
qmof-e73025e,443.8,0.95,QMOF reference
qmof-324f46d,,FAILED,QMOF reference
qmof-2eb4f02,329.4,0.86,QMOF reference
qmof-6c014ac,317.4,0.43,QMOF reference
qmof-620a952,,FAILED,QMOF reference
qmof-0f66221,315.8,0.69,QMOF reference
qmof-def59b5,371.9,0.9,QMOF reference
qmof-e8386b2,334.9,0.75,QMOF reference
qmof-792ee15,332.4,0.93,QMOF reference
qmof-6e8fd48,408.0,0.65,QMOF reference
qmof-6172dac,371.5,0.19,QMOF reference
