0214_Al_Me_s    2theta
BANK 1 5000 5000    CONST 2.0001    0.011229 0 0 FXYE
5.099428    605.000    0
5.110658    638.000    0
5.121887    649.000    0
5.133117    561.000    0
5.144346    594.000    0
5.155576    613.000    0
5.166805    607.000    0
5.178034    608.000    0
5.189264    599.000    0
5.200493    590.000    0
5.211723    560.000    0
5.222952    570.000    0
5.234182    580.000    0
5.245411    560.000    0
5.256641    627.000    0
5.26787    557.000    0
5.2791    589.000    0
5.290329    600.000    0
5.301558    600.000    0
5.312788    621.000    0
5.324017    575.000    0
5.335247    579.000    0
5.346476    577.000    0
5.357706    592.000    0
5.368935    598.000    0
5.380165    633.000    0
5.391394    582.000    0
5.402623    574.000    0
5.413853    599.000    0
5.425082    564.000    0
5.436312    579.000    0
5.447541    575.000    0
5.458771    542.000    0
5.470    570.000    0
5.48123    581.000    0
5.492459    568.000    0
5.503689    597.000    0
5.514918    625.000    0
5.526147    568.000    0
5.537377    575.000    0
5.548606    570.000    0
5.559836    574.000    0
5.571065    545.000    0
5.582295    531.000    0
5.593524    538.000    0
5.604754    555.000    0
5.615983    574.000    0
5.627212    566.000    0
5.638442    537.000    0
5.649671    571.000    0
5.660901    555.000    0
5.67213    572.000    0
5.68336    577.000    0
5.694589    566.000    0
5.705819    582.000    0
5.717048    528.000    0
5.728278    563.000    0
5.739507    559.000    0
5.750736    534.000    0
5.761966    572.000    0
5.773195    537.000    0
5.784425    535.000    0
5.795654    537.000    0
5.806884    537.000    0
5.818113    568.000    0
5.829343    548.000    0
5.840572    547.000    0
5.851801    499.000    0
5.863031    505.000    0
5.87426    524.000    0
5.88549    516.000    0
5.896719    519.000    0
5.907949    561.000    0
5.919178    492.000    0
5.930408    532.000    0
5.941637    495.000    0
5.952867    511.000    0
5.964096    514.000    0
5.975325    545.000    0
5.986555    537.000    0
5.997784    559.000    0
6.009014    516.000    0
6.020243    546.000    0
6.031473    562.000    0
6.042702    560.000    0
6.053932    532.000    0
6.065161    538.000    0
6.07639    559.000    0
6.08762    550.000    0
6.098849    511.000    0
6.110079    554.000    0
6.121308    545.000    0
6.132538    513.000    0
6.143767    561.000    0
6.154997    507.000    0
6.166226    561.000    0
6.177456    584.000    0
6.188685    525.000    0
6.199914    512.000    0
6.211144    571.000    0
6.222373    524.000    0
6.233603    551.000    0
6.244832    542.000    0
6.256062    561.000    0
6.267291    502.000    0
6.278521    515.000    0
6.28975    506.000    0
6.30098    501.000    0
6.312209    543.000    0
6.323438    531.000    0
6.334668    541.000    0
6.345897    558.000    0
6.357127    558.000    0
6.368356    508.000    0
