0214_Al_Me_s    2theta
BANK 1 5000 5000    CONST 2.0001    0.011229 0 0 FXYE
15.89093    275.000    0
15.90216    285.000    0
15.913389    266.000    0
15.924619    268.000    0
15.935848    284.000    0
15.947077    260.000    0
15.958307    280.000    0
15.969536    265.000    0
15.980766    280.000    0
15.991995    267.000    0
16.003225    247.000    0
16.014454    266.000    0
16.025684    277.000    0
16.036913    246.000    0
16.048142    265.000    0
16.059372    257.000    0
16.070601    302.000    0
16.081831    278.000    0
16.09306    243.000    0
16.10429    300.000    0
16.115519    248.000    0
16.126749    259.000    0
16.137978    270.000    0
16.149208    272.000    0
16.160437    279.000    0
16.171666    299.000    0
16.182896    295.000    0
16.194125    273.000    0
16.205355    268.000    0
16.216584    274.000    0
16.227814    260.000    0
16.239043    289.000    0
16.250273    303.000    0
16.261502    274.000    0
16.272731    247.000    0
16.283961    265.000    0
16.29519    249.000    0
16.30642    306.000    0
16.317649    261.000    0
16.328879    263.000    0
16.340108    220.000    0
16.351338    252.000    0
16.362567    259.000    0
16.373797    253.000    0
16.385026    288.000    0
16.396255    275.000    0
16.407485    276.000    0
16.418714    258.000    0
16.429944    247.000    0
16.441173    247.000    0
16.452403    259.000    0
16.463632    263.000    0
16.474862    266.000    0
16.486091    284.000    0
16.49732    272.000    0
16.50855    258.000    0
16.519779    273.000    0
16.531009    271.000    0
16.542238    275.000    0
16.553468    317.000    0
16.564697    292.000    0
16.575927    287.000    0
16.587156    321.000    0
16.598386    328.000    0
16.609615    370.000    0
16.620844    378.000    0
16.632074    388.000    0
16.643303    373.000    0
16.654533    438.000    0
16.665762    398.000    0
16.676992    406.000    0
16.688221    431.000    0
16.699451    381.000    0
16.71068    442.000    0
16.721909    462.000    0
16.733139    426.000    0
16.744368    436.000    0
16.755598    465.000    0
16.766827    446.000    0
16.778057    427.000    0
16.789286    456.000    0
16.800516    446.000    0
16.811745    449.000    0
16.822975    402.000    0
16.834204    432.000    0
16.845433    445.000    0
16.856663    416.000    0
16.867892    448.000    0
16.879122    409.000    0
16.890351    394.000    0
16.901581    361.000    0
16.91281    384.000    0
16.92404    402.000    0
16.935269    359.000    0
16.946498    375.000    0
16.957728    333.000    0
16.968957    344.000    0
16.980187    416.000    0
16.991416    375.000    0
17.002646    364.000    0
17.013875    342.000    0
17.025105    338.000    0
17.036334    345.000    0
17.047564    342.000    0
17.058793    372.000    0
17.070022    331.000    0
17.081252    340.000    0
17.092481    322.000    0
17.103711    330.000    0
17.11494    318.000    0
17.12617    328.000    0
17.137399    370.000    0
17.148629    318.000    0
17.159858    313.000    0
17.171088    344.000    0
17.182317    339.000    0
17.193546    301.000    0
17.204776    325.000    0
17.216005    317.000    0
17.227235    335.000    0
17.238464    349.000    0
17.249694    320.000    0
17.260923    308.000    0
17.272153    326.000    0
17.283382    293.000    0
17.294611    306.000    0
17.305841    300.000    0
17.31707    289.000    0
17.3283    316.000    0
17.339529    318.000    0
17.350759    334.000    0
17.361988    286.000    0
17.373218    285.000    0
17.384447    317.000    0
17.395677    305.000    0
17.406906    291.000    0
17.418135    278.000    0
17.429365    357.000    0
17.440594    316.000    0
17.451824    346.000    0
17.463053    303.000    0
17.474283    314.000    0
17.485512    311.000    0
17.496742    323.000    0
17.507971    301.000    0
17.5192    289.000    0
17.53043    280.000    0
17.541659    277.000    0
17.552889    312.000    0
17.564118    331.000    0
17.575348    303.000    0
17.586577    278.000    0
17.597807    312.000    0
17.609036    301.000    0
17.620266    315.000    0
17.631495    318.000    0
17.642724    319.000    0
17.653954    292.000    0
17.665183    297.000    0
17.676413    313.000    0
17.687642    323.000    0
17.698872    305.000    0
17.710101    279.000    0
17.721331    306.000    0
17.73256    319.000    0
17.743789    310.000    0
17.755019    335.000    0
17.766248    325.000    0
17.777478    309.000    0
17.788707    325.000    0
17.799937    286.000    0
17.811166    315.000    0
17.822396    357.000    0
17.833625    341.000    0
17.844855    318.000    0
17.856084    322.000    0
17.867313    320.000    0
17.878543    326.000    0
17.889772    331.000    0
17.901002    334.000    0
17.912231    326.000    0
17.923461    317.000    0
17.93469    308.000    0
17.94592    301.000    0
17.957149    269.000    0
17.968378    360.000    0
17.979608    343.000    0
17.990837    272.000    0
18.002067    337.000    0
18.013296    315.000    0
18.024526    302.000    0
18.035755    333.000    0
18.046985    300.000    0
18.058214    314.000    0
18.069444    308.000    0
18.080673    285.000    0
18.091902    322.000    0
18.103132    318.000    0
18.114361    295.000    0
18.125591    308.000    0
18.13682    299.000    0
18.14805    318.000    0
18.159279    336.000    0
18.170509    319.000    0
18.181738    326.000    0
18.192967    357.000    0
18.204197    339.000    0
18.215426    382.000    0
18.226656    388.000    0
18.237885    429.000    0
18.249115    438.000    0
18.260344    505.000    0
18.271574    567.000    0
18.282803    587.000    0
18.294033    624.000    0
18.305262    694.000    0
18.316491    712.000    0
18.327721    721.000    0
18.33895    733.000    0
18.35018    741.000    0
18.361409    755.000    0
18.372639    771.000    0
18.383868    729.000    0
18.395098    733.000    0
18.406327    692.000    0
18.417556    673.000    0
18.428786    612.000    0
18.440015    611.000    0
18.451245    618.000    0
18.462474    593.000    0
18.473704    553.000    0
18.484933    606.000    0
18.496163    494.000    0
18.507392    534.000    0
18.518622    494.000    0
18.529851    495.000    0
18.54108    531.000    0
18.55231    472.000    0
18.563539    477.000    0
18.574769    530.000    0
18.585998    448.000    0
18.597228    451.000    0
18.608457    484.000    0
18.619687    462.000    0
18.630916    478.000    0
18.642146    476.000    0
18.653375    467.000    0
18.664604    500.000    0
18.675834    502.000    0
18.687063    429.000    0
18.698293    428.000    0
18.709522    481.000    0
18.720752    504.000    0
18.731981    486.000    0
18.743211    449.000    0
18.75444    466.000    0
18.765669    464.000    0
18.776899    420.000    0
18.788128    422.000    0
18.799358    447.000    0
18.810587    453.000    0
18.821817    441.000    0
18.833046    487.000    0
18.844276    468.000    0
18.855505    438.000    0
18.866735    427.000    0
18.877964    432.000    0
18.889193    462.000    0
18.900423    505.000    0
18.911652    454.000    0
18.922882    435.000    0
18.934111    460.000    0
18.945341    441.000    0
18.95657    460.000    0
18.9678    470.000    0
18.979029    467.000    0
18.990258    504.000    0
19.001488    475.000    0
19.012717    471.000    0
19.023947    509.000    0
19.035176    478.000    0
19.046406    525.000    0
19.057635    513.000    0
19.068865    525.000    0
19.080094    520.000    0
19.091324    531.000    0
19.102553    550.000    0
19.113782    535.000    0
19.125012    638.000    0
19.136241    628.000    0
19.147471    635.000    0
19.1587    653.000    0
19.16993    675.000    0
19.181159    707.000    0
19.192389    652.000    0
19.203618    627.000    0
19.214847    599.000    0
19.226077    625.000    0
19.237306    560.000    0
19.248536    558.000    0
19.259765    557.000    0
19.270995    567.000    0
19.282224    546.000    0
19.293454    520.000    0
19.304683    482.000    0
19.315913    547.000    0
19.327142    534.000    0
19.338371    496.000    0
19.349601    502.000    0
19.36083    480.000    0
19.37206    493.000    0
19.383289    484.000    0
19.394519    526.000    0
19.405748    524.000    0
19.416978    423.000    0
19.428207    493.000    0
19.439436    455.000    0
19.450666    506.000    0
19.461895    524.000    0
19.473125    584.000    0
19.484354    520.000    0
19.495584    528.000    0
19.506813    563.000    0
19.518043    598.000    0
19.529272    576.000    0
19.540502    607.000    0
19.551731    587.000    0
19.56296    641.000    0
19.57419    645.000    0
19.585419    631.000    0
19.596649    622.000    0
19.607878    643.000    0
19.619108    639.000    0
19.630337    620.000    0
19.641567    619.000    0
19.652796    653.000    0
19.664025    620.000    0
19.675255    661.000    0
19.686484    669.000    0
19.697714    633.000    0
19.708943    640.000    0
19.720173    610.000    0
19.731402    624.000    0
19.742632    597.000    0
19.753861    600.000    0
19.765091    571.000    0
19.77632    543.000    0
19.787549    514.000    0
19.798779    503.000    0
19.810008    488.000    0
19.821238    508.000    0
19.832467    504.000    0
19.843697    497.000    0
19.854926    560.000    0
19.866156    505.000    0
19.877385    486.000    0
19.888614    461.000    0
19.899844    454.000    0
19.911073    450.000    0
19.922303    490.000    0
19.933532    451.000    0
19.944762    443.000    0
19.955991    471.000    0
19.967221    442.000    0
19.97845    445.000    0
19.98968    424.000    0
20.000909    436.000    0
20.012138    467.000    0
20.023368    467.000    0
20.034597    461.000    0
20.045827    473.000    0
20.057056    456.000    0
20.068286    452.000    0
20.079515    473.000    0
20.090745    478.000    0
20.101974    442.000    0
20.113204    404.000    0
20.124433    439.000    0
20.135662    453.000    0
20.146892    429.000    0
20.158121    414.000    0
20.169351    420.000    0
20.18058    432.000    0
20.19181    416.000    0
20.203039    417.000    0
20.214269    491.000    0
20.225498    445.000    0
20.236727    457.000    0
20.247957    439.000    0
20.259186    449.000    0
20.270416    414.000    0
20.281645    490.000    0
20.292875    452.000    0
20.304104    456.000    0
20.315334    479.000    0
20.326563    445.000    0
20.337793    471.000    0
20.349022    491.000    0
20.360251    486.000    0
20.371481    503.000    0
20.38271    460.000    0
20.39394    473.000    0
20.405169    480.000    0
20.416399    511.000    0
20.427628    496.000    0
20.438858    488.000    0
20.450087    489.000    0
20.461316    500.000    0
20.472546    537.000    0
20.483775    524.000    0
20.495005    572.000    0
20.506234    539.000    0
20.517464    536.000    0
20.528693    636.000    0
20.539923    553.000    0
20.551152    562.000    0
20.562382    555.000    0
20.573611    569.000    0
20.58484    553.000    0
20.59607    586.000    0
20.607299    560.000    0
20.618529    554.000    0
20.629758    634.000    0
20.640988    555.000    0
20.652217    534.000    0
20.663447    545.000    0
20.674676    505.000    0
20.685905    532.000    0
20.697135    521.000    0
20.708364    556.000    0
20.719594    454.000    0
20.730823    514.000    0
20.742053    509.000    0
20.753282    512.000    0
20.764512    486.000    0
20.775741    466.000    0
20.786971    461.000    0
20.7982    470.000    0
20.809429    466.000    0
20.820659    451.000    0
20.831888    473.000    0
20.843118    487.000    0
20.854347    505.000    0
20.865577    490.000    0
20.876806    458.000    0
20.888036    456.000    0
20.899265    452.000    0
20.910494    442.000    0
20.921724    441.000    0
20.932953    490.000    0
20.944183    478.000    0
20.955412    450.000    0
20.966642    430.000    0
20.977871    456.000    0
20.989101    433.000    0
21.00033    483.000    0
21.01156    530.000    0
21.022789    491.000    0
21.034018    505.000    0
21.045248    475.000    0
21.056477    482.000    0
21.067707    435.000    0
21.078936    486.000    0
21.090166    498.000    0
21.101395    453.000    0
21.112625    494.000    0
21.123854    439.000    0
21.135083    514.000    0
21.146313    421.000    0
21.157542    465.000    0
21.168772    446.000    0
21.180001    451.000    0
21.191231    469.000    0
21.20246    448.000    0
21.21369    411.000    0
21.224919    430.000    0
21.236149    451.000    0
21.247378    446.000    0
21.258607    456.000    0
21.269837    404.000    0
21.281066    458.000    0
21.292296    415.000    0
21.303525    379.000    0
21.314755    401.000    0
21.325984    403.000    0
21.337214    426.000    0
21.348443    444.000    0
21.359673    449.000    0
21.370902    420.000    0
21.382131    411.000    0
21.393361    447.000    0
21.40459    427.000    0
21.41582    403.000    0
21.427049    425.000    0
21.438279    425.000    0
21.449508    437.000    0
21.460738    430.000    0
21.471967    454.000    0
21.483196    426.000    0
21.494426    429.000    0
21.505655    461.000    0
21.516885    420.000    0
21.528114    425.000    0
21.539344    416.000    0
21.550573    394.000    0
21.561803    430.000    0
21.573032    426.000    0
21.584262    416.000    0
21.595491    403.000    0
21.60672    436.000    0
21.61795    411.000    0
21.629179    432.000    0
21.640409    406.000    0
21.651638    404.000    0
21.662868    426.000    0
21.674097    425.000    0
21.685327    420.000    0
21.696556    416.000    0
21.707785    381.000    0
21.719015    416.000    0
21.730244    445.000    0
21.741474    395.000    0
21.752703    388.000    0
21.763933    410.000    0
21.775162    443.000    0
21.786392    449.000    0
21.797621    438.000    0
21.808851    407.000    0
21.82008    400.000    0
21.831309    449.000    0
21.842539    406.000    0
21.853768    442.000    0
21.864998    422.000    0
21.876227    425.000    0
21.887457    406.000    0
21.898686    413.000    0
21.909916    428.000    0
21.921145    420.000    0
21.932374    391.000    0
21.943604    431.000    0
21.954833    371.000    0
21.966063    419.000    0
21.977292    384.000    0
21.988522    432.000    0
21.999751    432.000    0
22.010981    433.000    0
22.02221    399.000    0
22.03344    416.000    0
22.044669    404.000    0
22.055898    418.000    0
22.067128    374.000    0
22.078357    413.000    0
22.089587    420.000    0
22.100816    408.000    0
22.112046    403.000    0
22.123275    419.000    0
22.134505    386.000    0
22.145734    412.000    0
22.156963    413.000    0
22.168193    391.000    0
22.179422    434.000    0
22.190652    375.000    0
22.201881    388.000    0
22.213111    415.000    0
22.22434    382.000    0
22.23557    412.000    0
22.246799    432.000    0
22.258029    425.000    0
22.269258    430.000    0
22.280487    411.000    0
22.291717    417.000    0
22.302946    387.000    0
22.314176    417.000    0
22.325405    440.000    0
22.336635    423.000    0
22.347864    422.000    0
22.359094    422.000    0
22.370323    434.000    0
22.381552    435.000    0
22.392782    445.000    0
22.404011    429.000    0
22.415241    451.000    0
22.42647    405.000    0
22.4377    427.000    0
22.448929    422.000    0
22.460159    431.000    0
22.471388    424.000    0
22.482618    434.000    0
22.493847    459.000    0
22.505076    462.000    0
22.516306    427.000    0
22.527535    466.000    0
22.538765    461.000    0
22.549994    505.000    0
22.561224    512.000    0
22.572453    459.000    0
22.583683    561.000    0
22.594912    564.000    0
22.606141    597.000    0
22.617371    636.000    0
22.6286    711.000    0
22.63983    705.000    0
22.651059    793.000    0
22.662289    812.000    0
22.673518    856.000    0
22.684748    799.000    0
22.695977    827.000    0
22.707207    883.000    0
22.718436    749.000    0
22.729665    705.000    0
22.740895    776.000    0
22.752124    682.000    0
22.763354    671.000    0
22.774583    602.000    0
22.785813    552.000    0
22.797042    531.000    0
22.808272    469.000    0
22.819501    513.000    0
22.830731    444.000    0
22.84196    471.000    0
22.853189    467.000    0
22.864419    487.000    0
22.875648    475.000    0
22.886878    416.000    0
22.898107    403.000    0
22.909337    404.000    0
22.920566    461.000    0
22.931796    412.000    0
22.943025    430.000    0
22.954254    404.000    0
22.965484    414.000    0
22.976713    412.000    0
22.987943    413.000    0
22.999172    388.000    0
23.010402    404.000    0
23.021631    390.000    0
23.032861    388.000    0
23.04409    380.000    0
23.05532    387.000    0
23.066549    390.000    0
23.077778    394.000    0
23.089008    388.000    0
23.100237    434.000    0
23.111467    372.000    0
23.122696    403.000    0
23.133926    415.000    0
23.145155    371.000    0
23.156385    398.000    0
23.167614    397.000    0
23.178843    398.000    0
23.190073    346.000    0
23.201302    378.000    0
23.212532    382.000    0
23.223761    406.000    0
23.234991    386.000    0
23.24622    365.000    0
23.25745    370.000    0
23.268679    368.000    0
23.279909    378.000    0
23.291138    389.000    0
23.302367    356.000    0
23.313597    362.000    0
23.324826    409.000    0
23.336056    361.000    0
23.347285    346.000    0
23.358515    366.000    0
23.369744    400.000    0
23.380974    418.000    0
23.392203    419.000    0
23.403432    374.000    0
23.414662    408.000    0
23.425891    348.000    0
23.437121    380.000    0
23.44835    374.000    0
23.45958    384.000    0
23.470809    349.000    0
23.482039    386.000    0
23.493268    386.000    0
23.504498    366.000    0
23.515727    372.000    0
23.526956    378.000    0
23.538186    348.000    0
23.549415    352.000    0
23.560645    355.000    0
23.571874    384.000    0
23.583104    376.000    0
23.594333    420.000    0
23.605563    347.000    0
23.616792    402.000    0
23.628021    386.000    0
23.639251    366.000    0
23.65048    347.000    0
23.66171    404.000    0
23.672939    365.000    0
23.684169    341.000    0
23.695398    382.000    0
23.706628    392.000    0
23.717857    390.000    0
23.729087    405.000    0
23.740316    353.000    0
23.751545    382.000    0
23.762775    409.000    0
23.774004    351.000    0
23.785234    362.000    0
23.796463    363.000    0
23.807693    388.000    0
23.818922    366.000    0
23.830152    373.000    0
23.841381    374.000    0
23.85261    338.000    0
23.86384    366.000    0
23.875069    406.000    0
23.886299    395.000    0
23.897528    410.000    0
23.908758    384.000    0
23.919987    353.000    0
23.931217    391.000    0
23.942446    368.000    0
23.953676    400.000    0
23.964905    364.000    0
23.976134    348.000    0
23.987364    393.000    0
23.998593    354.000    0
24.009823    396.000    0
24.021052    398.000    0
24.032282    371.000    0
24.043511    391.000    0
24.054741    399.000    0
24.06597    362.000    0
24.0772    388.000    0
24.088429    385.000    0
24.099658    360.000    0
24.110888    364.000    0
24.122117    346.000    0
24.133347    375.000    0
24.144576    384.000    0
24.155806    330.000    0
24.167035    384.000    0
24.178265    351.000    0
24.189494    392.000    0
24.200723    361.000    0
24.211953    365.000    0
24.223182    361.000    0
24.234412    398.000    0
24.245641    327.000    0
24.256871    378.000    0
24.2681    369.000    0
24.27933    354.000    0
24.290559    340.000    0
24.301789    348.000    0
24.313018    353.000    0
24.324247    376.000    0
24.335477    358.000    0
24.346706    386.000    0
24.357936    382.000    0
24.369165    344.000    0
24.380395    333.000    0
24.391624    404.000    0
24.402854    362.000    0
24.414083    356.000    0
24.425312    380.000    0
24.436542    356.000    0
24.447771    390.000    0
24.459001    368.000    0
24.47023    360.000    0
24.48146    367.000    0
24.492689    328.000    0
24.503919    336.000    0
24.515148    371.000    0
24.526378    385.000    0
24.537607    371.000    0
24.548836    332.000    0
24.560066    346.000    0
24.571295    389.000    0
24.582525    398.000    0
24.593754    370.000    0
24.604984    385.000    0
24.616213    368.000    0
24.627443    459.000    0
24.638672    418.000    0
24.649901    396.000    0
24.661131    435.000    0
24.67236    449.000    0
24.68359    396.000    0
24.694819    429.000    0
24.706049    409.000    0
24.717278    399.000    0
24.728508    408.000    0
24.739737    392.000    0
24.750967    334.000    0
24.762196    396.000    0
24.773425    367.000    0
24.784655    371.000    0
24.795884    383.000    0
24.807114    385.000    0
24.818343    378.000    0
24.829573    398.000    0
24.840802    366.000    0
24.852032    381.000    0
24.863261    339.000    0
24.87449    399.000    0
24.88572    363.000    0
24.896949    376.000    0
24.908179    366.000    0
24.919408    380.000    0
24.930638    380.000    0
24.941867    399.000    0
24.953097    398.000    0
24.964326    417.000    0
24.975556    443.000    0
24.986785    413.000    0
24.998014    424.000    0
25.009244    456.000    0
25.020473    484.000    0
25.031703    527.000    0
25.042932    586.000    0
25.054162    616.000    0
25.065391    743.000    0
25.076621    829.000    0
25.08785    946.000    0
25.099079    1027.000    0
25.110309    1192.000    0
25.121538    1248.000    0
25.132768    1359.000    0
25.143997    1264.000    0
25.155227    1215.000    0
25.166456    1256.000    0
25.177686    1205.000    0
25.188915    1048.000    0
25.200145    1039.000    0
25.211374    886.000    0
25.222603    769.000    0
25.233833    758.000    0
25.245062    656.000    0
25.256292    621.000    0
25.267521    542.000    0
25.278751    500.000    0
25.28998    468.000    0
25.30121    442.000    0
25.312439    411.000    0
25.323668    407.000    0
25.334898    389.000    0
25.346127    353.000    0
25.357357    341.000    0
25.368586    355.000    0
25.379816    370.000    0
25.391045    368.000    0
25.402275    341.000    0
25.413504    374.000    0
25.424734    347.000    0
25.435963    365.000    0
25.447192    355.000    0
25.458422    357.000    0
25.469651    351.000    0
25.480881    333.000    0
25.49211    379.000    0
25.50334    329.000    0
25.514569    362.000    0
25.525799    373.000    0
25.537028    344.000    0
25.548258    322.000    0
25.559487    374.000    0
25.570716    308.000    0
25.581946    307.000    0
25.593175    346.000    0
25.604405    356.000    0
25.615634    349.000    0
25.626864    366.000    0
25.638093    376.000    0
25.649323    359.000    0
25.660552    353.000    0
25.671781    312.000    0
25.683011    334.000    0
25.69424    371.000    0
25.70547    362.000    0
25.716699    404.000    0
25.727929    337.000    0
25.739158    333.000    0
25.750388    364.000    0
25.761617    404.000    0
25.772847    389.000    0
25.784076    412.000    0
25.795305    385.000    0
25.806535    436.000    0
25.817764    408.000    0
25.828994    421.000    0
25.840223    420.000    0
25.851453    424.000    0
25.862682    441.000    0
25.873912    403.000    0
25.885141    485.000    0
25.89637    454.000    0
25.9076    487.000    0
25.918829    467.000    0
25.930059    479.000    0
25.941288    482.000    0
25.952518    463.000    0
25.963747    482.000    0
25.974977    477.000    0
25.986206    441.000    0
25.997436    436.000    0
26.008665    449.000    0
26.019894    456.000    0
26.031124    430.000    0
26.042353    454.000    0
26.053583    430.000    0
26.064812    436.000    0
26.076042    393.000    0
26.087271    404.000    0
26.098501    407.000    0
26.10973    397.000    0
26.120959    422.000    0
26.132189    416.000    0
26.143418    381.000    0
26.154648    384.000    0
26.165877    399.000    0
26.177107    386.000    0
26.188336    424.000    0
26.199566    394.000    0
26.210795    366.000    0
26.222025    373.000    0
26.233254    387.000    0
26.244483    398.000    0
26.255713    420.000    0
26.266942    401.000    0
26.278172    416.000    0
26.289401    378.000    0
26.300631    384.000    0
26.31186    406.000    0
26.32309    383.000    0
26.334319    402.000    0
26.345548    407.000    0
26.356778    397.000    0
26.368007    423.000    0
26.379237    409.000    0
26.390466    406.000    0
26.401696    378.000    0
26.412925    371.000    0
26.424155    388.000    0
26.435384    353.000    0
26.446614    378.000    0
26.457843    374.000    0
26.469072    378.000    0
26.480302    334.000    0
26.491531    338.000    0
26.502761    327.000    0
26.51399    298.000    0
26.52522    374.000    0
26.536449    339.000    0
26.547679    343.000    0
26.558908    347.000    0
26.570137    325.000    0
26.581367    355.000    0
26.592596    335.000    0
26.603826    353.000    0
26.615055    321.000    0
26.626285    324.000    0
26.637514    347.000    0
26.648744    352.000    0
26.659973    338.000    0
26.671203    347.000    0
26.682432    327.000    0
26.693661    336.000    0
26.704891    355.000    0
26.71612    330.000    0
26.72735    333.000    0
26.738579    338.000    0
26.749809    323.000    0
26.761038    337.000    0
26.772268    343.000    0
26.783497    318.000    0
26.794727    344.000    0
26.805956    348.000    0
26.817185    308.000    0
26.828415    315.000    0
26.839644    307.000    0
26.850874    356.000    0
26.862103    345.000    0
26.873333    311.000    0
26.884562    303.000    0
26.895792    336.000    0
26.907021    346.000    0
26.91825    349.000    0
26.92948    325.000    0
26.940709    344.000    0
26.951939    340.000    0
26.963168    366.000    0
26.974398    410.000    0
26.985627    410.000    0
26.996857    407.000    0
27.008086    361.000    0
27.019316    425.000    0
27.030545    429.000    0
27.041774    436.000    0
27.053004    449.000    0
27.064233    404.000    0
27.075463    437.000    0
27.086692    434.000    0
27.097922    408.000    0
27.109151    444.000    0
27.120381    428.000    0
27.13161    427.000    0
27.142839    463.000    0
27.154069    475.000    0
27.165298    433.000    0
27.176528    450.000    0
27.187757    456.000    0
27.198987    443.000    0
27.210216    406.000    0
27.221446    409.000    0
27.232675    423.000    0
27.243905    433.000    0
27.255134    484.000    0
27.266363    445.000    0
27.277593    424.000    0
27.288822    463.000    0
27.300052    425.000    0
27.311281    419.000    0
27.322511    423.000    0
27.33374    434.000    0
27.34497    448.000    0
27.356199    431.000    0
27.367428    437.000    0
27.378658    456.000    0
27.389887    409.000    0
27.401117    429.000    0
27.412346    405.000    0
27.423576    408.000    0
27.434805    389.000    0
27.446035    374.000    0
27.457264    399.000    0
27.468494    373.000    0
27.479723    397.000    0
27.490952    356.000    0
27.502182    372.000    0
27.513411    364.000    0
27.524641    373.000    0
27.53587    333.000    0
27.5471    356.000    0
27.558329    353.000    0
27.569559    344.000    0
27.580788    354.000    0
27.592017    347.000    0
27.603247    365.000    0
27.614476    315.000    0
27.625706    361.000    0
27.636935    333.000    0
27.648165    363.000    0
27.659394    356.000    0
27.670624    335.000    0
27.681853    299.000    0
27.693083    320.000    0
27.704312    347.000    0
27.715541    378.000    0
27.726771    333.000    0
27.738    321.000    0
27.74923    356.000    0
27.760459    354.000    0
27.771689    315.000    0
27.782918    345.000    0
27.794148    320.000    0
27.805377    321.000    0
27.816606    350.000    0
27.827836    312.000    0
27.839065    310.000    0
27.850295    339.000    0
27.861524    325.000    0
27.872754    340.000    0
27.883983    318.000    0
27.895213    313.000    0
27.906442    345.000    0
27.917672    328.000    0
27.928901    305.000    0
27.94013    343.000    0
27.95136    335.000    0
27.962589    354.000    0
27.973819    336.000    0
27.985048    324.000    0
27.996278    347.000    0
28.007507    328.000    0
28.018737    306.000    0
28.029966    299.000    0
28.041195    306.000    0
28.052425    317.000    0
28.063654    311.000    0
28.074884    326.000    0
28.086113    317.000    0
28.097343    351.000    0
28.108572    341.000    0
28.119802    286.000    0
28.131031    287.000    0
28.142261    337.000    0
28.15349    315.000    0
28.164719    295.000    0
28.175949    281.000    0
28.187178    329.000    0
28.198408    312.000    0
28.209637    328.000    0
28.220867    333.000    0
28.232096    308.000    0
28.243326    296.000    0
28.254555    329.000    0
28.265785    317.000    0
28.277014    295.000    0
28.288243    312.000    0
28.299473    283.000    0
28.310702    289.000    0
28.321932    302.000    0
28.333161    318.000    0
28.344391    312.000    0
28.35562    310.000    0
28.36685    292.000    0
28.378079    288.000    0
28.389308    308.000    0
28.400538    310.000    0
28.411767    339.000    0
28.422997    310.000    0
28.434226    307.000    0
28.445456    323.000    0
28.456685    317.000    0
28.467915    315.000    0
28.479144    358.000    0
28.490374    302.000    0
28.501603    326.000    0
28.512832    347.000    0
28.524062    315.000    0
28.535291    333.000    0
28.546521    356.000    0
28.55775    388.000    0
28.56898    330.000    0
28.580209    341.000    0
28.591439    344.000    0
28.602668    325.000    0
28.613897    378.000    0
28.625127    369.000    0
28.636356    342.000    0
28.647586    374.000    0
28.658815    408.000    0
28.670045    456.000    0
28.681274    410.000    0
28.692504    515.000    0
28.703733    469.000    0
28.714963    523.000    0
28.726192    623.000    0
28.737421    666.000    0
28.748651    656.000    0
28.75988    726.000    0
28.77111    729.000    0
28.782339    680.000    0
28.793569    664.000    0
28.804798    657.000    0
28.816028    643.000    0
28.827257    603.000    0
28.838486    596.000    0
28.849716    571.000    0
28.860945    500.000    0
28.872175    460.000    0
28.883404    479.000    0
28.894634    444.000    0
28.905863    442.000    0
28.917093    414.000    0
28.928322    405.000    0
28.939552    362.000    0
28.950781    358.000    0
28.96201    399.000    0
28.97324    359.000    0
28.984469    354.000    0
28.995699    357.000    0
29.006928    359.000    0
29.018158    346.000    0
29.029387    343.000    0
29.040617    325.000    0
29.051846    334.000    0
29.063075    342.000    0
29.074305    361.000    0
29.085534    354.000    0
29.096764    341.000    0
29.107993    370.000    0
29.119223    331.000    0
29.130452    347.000    0
29.141682    336.000    0
29.152911    349.000    0
29.164141    309.000    0
29.17537    386.000    0
29.186599    394.000    0
29.197829    457.000    0
29.209058    442.000    0
29.220288    448.000    0
29.231517    444.000    0
29.242747    421.000    0
29.253976    423.000    0
29.265206    489.000    0
29.276435    497.000    0
29.287664    485.000    0
29.298894    522.000    0
29.310123    500.000    0
29.321353    498.000    0
29.332582    530.000    0
29.343812    518.000    0
29.355041    519.000    0
29.366271    520.000    0
29.3775    533.000    0
29.38873    506.000    0
29.399959    488.000    0
29.411188    519.000    0
29.422418    507.000    0
29.433647    497.000    0
29.444877    525.000    0
29.456106    529.000    0
29.467336    503.000    0
29.478565    465.000    0
29.489795    458.000    0
29.501024    436.000    0
29.512253    457.000    0
29.523483    446.000    0
29.534712    447.000    0
29.545942    405.000    0
29.557171    430.000    0
29.568401    426.000    0
29.57963    416.000    0
29.59086    403.000    0
29.602089    410.000    0
29.613319    376.000    0
29.624548    357.000    0
29.635777    397.000    0
29.647007    354.000    0
29.658236    399.000    0
29.669466    342.000    0
29.680695    344.000    0
29.691925    324.000    0
29.703154    338.000    0
29.714384    302.000    0
29.725613    346.000    0
29.736843    332.000    0
29.748072    334.000    0
29.759301    310.000    0
29.770531    308.000    0
29.78176    306.000    0
29.79299    325.000    0
29.804219    327.000    0
29.815449    329.000    0
29.826678    305.000    0
29.837908    327.000    0
29.849137    328.000    0
29.860366    317.000    0
29.871596    315.000    0
29.882825    315.000    0
29.894055    304.000    0
29.905284    317.000    0
29.916514    310.000    0
29.927743    288.000    0
29.938973    292.000    0
29.950202    319.000    0
29.961432    309.000    0
29.972661    342.000    0
29.98389    309.000    0
29.99512    317.000    0
30.006349    322.000    0
30.017579    299.000    0
30.028808    314.000    0
30.040038    316.000    0
30.051267    314.000    0
30.062497    276.000    0
30.073726    314.000    0
30.084955    309.000    0
30.096185    320.000    0
30.107414    281.000    0
